"Time","60 right DS","59 left DS","37a CoMy (cm)","37 CoMy (cm)","v1 xCoM","v3 L COP","v2 R COP","3 Platform"
0.252,1,0,-1.319812,4.869469,4.797947,0.000000,3.770622,1.48423
0.253,1,0,-1.304144,4.867919,4.797606,0.000000,3.765877,1.48402
0.254,1,0,-1.288475,4.866369,4.797265,0.000000,3.760847,1.48320
0.255,1,0,-1.286158,4.865155,4.796940,0.000000,3.757637,1.48416
0.256,1,0,-1.288244,4.864052,4.796621,0.000000,3.754789,1.48673
0.257,1,0,-1.290331,4.862948,4.796302,0.000000,3.752083,1.48408
0.258,1,0,-1.292417,4.861845,4.795982,0.000000,3.749406,1.48275
0.259,1,0,-1.303890,4.860637,4.795663,0.000000,3.744420,1.48326
0.260,1,0,-1.318458,4.859394,4.795344,0.000000,3.738975,1.48351
0.261,1,0,-1.333026,4.858150,4.795024,0.000000,3.731588,1.48317
0.262,1,0,-1.347594,4.856907,4.794705,0.000000,3.723814,1.48544
0.263,1,0,-1.357985,4.855608,4.794323,0.000000,3.715390,1.48412
0.264,1,0,-1.366998,4.854289,4.793920,0.000000,3.706836,1.48421
0.265,1,0,-1.376011,4.852971,4.793517,0.000000,3.699505,1.48535
0.266,1,0,-1.385023,4.851652,4.793114,0.000000,3.692417,1.48262
0.267,1,0,-1.383671,4.850042,4.792572,0.000000,3.687677,1.48301
0.268,1,0,-1.378900,4.848337,4.791984,0.000000,3.683403,1.48310
0.269,1,0,-1.374129,4.846631,4.791395,0.000000,3.678464,1.48411
0.270,1,0,-1.369358,4.844925,4.790807,0.000000,3.673392,1.48239
0.271,1,0,-1.344893,4.843478,4.790044,0.000000,3.665091,1.48331
0.272,1,0,-1.313934,4.842117,4.789224,0.000000,3.656148,1.48398
0.273,1,0,-1.282974,4.840755,4.788404,0.000000,3.648736,1.48432
0.274,1,0,-1.252014,4.839393,4.787583,0.000000,3.641628,1.48280
0.275,1,0,-1.211844,4.838107,4.786717,0.000000,3.640960,1.48342
0.276,1,0,-1.168635,4.836845,4.785836,0.000000,3.641573,1.48469
0.277,1,0,-1.125427,4.835583,4.784955,0.000000,3.644837,1.48311
