"Time","v3 L COP","v1 xCoM","37a CoMy (cm)","v2 R COP","66 RDS cle","64 Rmark cle","34 FRx (cm)","29 HRx (cm)","67 LDS cle","33 FLy (cm)","65 Lmark cle","32 FLx (cm)","30 HRy (cm)","28 HLy (cm)","27 HLx (cm)","3 Platform","2 Trdml","1 Synch"
0.138,0.000000,6.439396,5.829197,5.229883,1,0,17.360174,11.649796,1,7.149673,0,17.685242,4.739962,7.019556,13.480978,0.00015,0.06858,3.27655
0.139,0.000000,6.442084,5.753244,5.230680,1,0,17.349669,11.640673,1,7.148555,0,17.691328,4.742022,7.019024,13.468223,0.00025,0.11229,3.27615
0.140,0.000000,6.444573,5.677290,5.231601,1,0,17.339163,11.631548,1,7.147436,0,17.697414,4.744081,7.018493,13.455468,-0.00002,0.09996,3.27661
0.141,0.000000,6.446861,5.601644,5.232554,1,0,17.328623,11.622413,1,7.146119,0,17.703529,4.746198,7.017970,13.442705,0.00038,0.09266,3.27695
0.142,0.000000,6.448654,5.527180,5.233585,1,0,17.317942,11.613231,1,7.144034,0,17.709764,4.748536,7.017480,13.429909,0.00000,0.08201,3.27679
0.143,0.000000,6.450395,5.452716,5.234659,1,0,17.307262,11.604050,1,7.141950,0,17.716000,4.750875,7.016990,13.417113,0.00002,0.06798,3.27658
0.144,0.000000,6.452011,5.378253,5.235836,1,0,17.296581,11.594868,1,7.139866,0,17.722235,4.753212,7.016500,13.404317,0.00015,0.08673,3.27612
0.145,0.000000,6.453763,5.307206,5.237060,1,0,17.285940,11.585752,1,7.137611,0,17.728777,4.755629,7.016009,13.391593,-0.00015,0.10130,3.27598
0.146,0.000000,6.455853,5.249330,5.238403,1,0,17.275454,11.576885,1,7.134700,0,17.736504,4.758349,7.015513,13.379143,-0.00013,0.10778,3.27713
0.147,0.000000,6.458094,5.191454,5.239743,1,0,17.264967,11.568018,1,7.131789,0,17.744230,4.761068,7.015016,13.366693,0.00004,0.07541,3.27794
0.148,0.000000,6.460705,5.133578,5.241077,1,0,17.254480,11.559152,1,7.128879,0,17.751957,4.763788,7.014519,13.354242,0.00000,0.07063,3.27741
0.149,0.000000,6.463443,5.080465,5.242357,1,0,17.243967,11.550290,1,7.127494,0,17.764435,4.766414,7.014085,13.341776,0.00019,0.09462,3.27704
0.150,0.000000,6.466494,5.045710,5.243504,1,0,17.233355,11.541446,1,7.131995,0,17.795225,4.768674,7.013894,13.329249,0.00015,0.10404,3.27734
0.151,0.000000,6.469702,5.010956,5.244613,1,0,17.222744,11.532602,1,7.136496,0,17.826015,4.770935,7.013702,13.316723,0.00000,0.09577,3.27759
0.152,0.000000,6.473297,4.976201,5.245630,1,0,17.212132,11.523759,1,7.140997,0,17.856806,4.773196,7.013511,13.304196,0.00040,0.08673,3.27759
0.153,0.000000,6.477075,4.946741,5.246635,1,0,17.201542,11.515039,1,7.145515,0,17.886992,4.775368,7.013304,13.291716,0.00013,0.07197,3.27762
0.154,0.000000,6.481305,4.937689,5.247613,1,0,17.191034,11.506801,1,7.150102,0,17.914845,4.777203,7.013040,13.279411,0.00013,0.09066,3.27777
0.155,0.000000,6.485656,4.928637,5.248566,1,0,17.180525,11.498562,1,7.154688,0,17.942696,4.779037,7.012776,13.267107,0.00002,0.10393,3.27776
0.156,0.000000,6.490311,4.919584,5.249456,1,0,17.170017,11.490323,1,7.159274,0,17.970549,4.780871,7.012512,13.254802,0.00012,0.09771,3.27707
0.157,0.000000,6.495027,4.913781,5.250304,1,0,17.159527,11.482299,1,7.163717,0,17.997911,4.782590,7.012372,13.242399,0.00000,0.07882,3.27649
0.158,0.000000,6.499890,4.920504,5.251047,1,0,17.149109,11.475102,1,7.167607,0,18.023394,4.783861,7.012712,13.229618,-0.00013,0.07335,3.27634
0.159,0.000000,6.504853,4.927227,5.251769,1,0,17.138691,11.467906,1,7.171496,0,18.048876,4.785131,7.013050,13.216837,0.00002,0.11951,3.27631
