"Time","3 Chan 3","2 Chan 2","1 Chan 1"
0.634,0.019207,0.005781,0.002324
0.635,0.019278,0.005912,0.002275
0.636,0.018876,0.005734,0.002318
0.637,0.018552,0.005611,0.002335
0.638,0.018536,0.005361,0.002341
0.639,0.018755,0.005357,0.002306
0.640,0.018850,0.005371,0.002285
0.641,0.018754,0.005348,0.002310
0.642,0.018612,0.005331,0.002367
0.643,0.018812,0.005260,0.002359
0.644,0.018762,0.005281,0.002356
0.645,0.019186,0.005383,0.002238
0.646,0.019498,0.005522,0.002135
0.647,0.019952,0.005685,0.002013
0.648,0.020172,0.005773,0.001948
0.649,0.019837,0.005836,0.001968
0.650,0.019663,0.005961,0.001960
0.651,0.019609,0.006201,0.001910
0.652,0.019681,0.006435,0.001918
0.653,0.019494,0.006608,0.001987
0.654,0.019221,0.006725,0.002061
0.655,0.018861,0.006671,0.002139
0.656,0.018676,0.006658,0.002206
0.657,0.018488,0.006616,0.002265
0.658,0.018277,0.006651,0.002334
0.659,0.018215,0.006539,0.002379
0.660,0.017729,0.006248,0.002544
0.661,0.017184,0.006014,0.002730
0.662,0.016452,0.005851,0.002945
0.663,0.016361,0.005691,0.003026
0.664,0.017101,0.005446,0.002980
0.665,0.018310,0.005045,0.002917
0.666,0.019015,0.004836,0.003234
0.667,0.019337,0.004684,0.003518
0.668,0.019506,0.004618,0.003781
0.669,0.020269,0.004458,0.003656
0.670,0.021554,0.004367,0.003504
0.671,0.022509,0.004398,0.003300
0.672,0.023168,0.004522,0.003119
0.673,0.023149,0.004570,0.003024
0.674,0.023111,0.004643,0.002986
0.675,0.022819,0.004709,0.002981
0.676,0.022733,0.004801,0.002941
0.677,0.023013,0.004966,0.002789
0.678,0.022781,0.005404,0.002703
0.679,0.022342,0.005888,0.002643
0.680,0.021483,0.006272,0.002641
0.681,0.021207,0.006267,0.002299
0.682,0.021411,0.005993,0.001942
0.683,0.021559,0.005775,0.001620
0.684,0.021027,0.005640,0.001680
0.685,0.019672,0.005629,0.001834
0.686,0.018642,0.005475,0.002001
0.687,0.018383,0.005197,0.002106
0.688,0.018622,0.005076,0.002601
0.689,0.018636,0.005372,0.004656
0.690,0.018217,0.006822,0.008151
0.691,0.017331,0.009645,0.013315
0.692,0.016347,0.012434,0.018924
0.693,0.015250,0.016028,0.024235
0.694,0.013973,0.019914,0.030717
0.695,0.012633,0.023579,0.037320
0.696,0.011379,0.027246,0.043136
0.697,0.009632,0.031527,0.048237
0.698,0.008292,0.035980,0.053023
0.699,0.007083,0.040448,0.057299
0.700,0.006250,0.045056,0.061428
0.701,0.005530,0.049163,0.065695
0.702,0.004686,0.053640,0.070200
0.703,0.004071,0.058100,0.073541
0.704,0.004002,0.061329,0.073879
0.705,0.004719,0.062977,0.072641
0.706,0.005905,0.062918,0.070047
0.707,0.007173,0.062389,0.067260
0.708,0.008439,0.060580,0.064852
0.709,0.009904,0.058337,0.061420
0.710,0.011626,0.056012,0.057963
0.711,0.013312,0.053431,0.055196
0.712,0.014814,0.049629,0.052963
0.713,0.016144,0.045437,0.050942
0.714,0.017277,0.041191,0.049467
0.715,0.018522,0.036668,0.047902
0.716,0.019719,0.032620,0.045837
0.717,0.020659,0.028193,0.043812
0.718,0.021438,0.023604,0.042679
0.719,0.021576,0.019926,0.043504
0.720,0.021481,0.016705,0.044091
0.721,0.021346,0.013690,0.044347
0.722,0.021031,0.011036,0.044460
0.723,0.020872,0.008682,0.044514
0.724,0.020565,0.006497,0.044311
0.725,0.019989,0.004719,0.043905
0.726,0.019389,0.003364,0.043834
0.727,0.019147,0.002784,0.043764
0.728,0.018999,0.002417,0.043506
