"1 Chan 1","2 Chan 2","3 Chan 3","4 Chan 4"
"0.02075","0.016550","0.077279","0.003972"
"0.02182","0.016585","0.078514","0.004429"
"0.02290","0.016680","0.079732","0.004858"
"0.02399","0.016858","0.080552","0.005236"
"0.02479","0.016955","0.080622","0.005585"
"0.02525","0.016986","0.080023","0.005962"
"0.02529","0.016965","0.079271","0.006341"
"0.02533","0.017038","0.078961","0.006668"
"0.02527","0.017231","0.078554","0.006791"
"0.02482","0.017388","0.077864","0.006791"
"0.02396","0.017504","0.076811","0.006806"
"0.02281","0.017759","0.075588","0.006702"
"0.02161","0.017984","0.074058","0.006566"
"0.02040","0.018222","0.072435","0.006184"
"0.01913","0.018496","0.070835","0.005770"
"0.01783","0.018728","0.069306","0.005362"
"0.01646","0.018845","0.067517","0.004969"
"0.01507","0.018767","0.065518","0.004649"
"0.01367","0.018396","0.063309","0.004425"
"0.01230","0.017867","0.061016","0.004205"
"0.01106","0.017141","0.058277","0.003984"
"0.00984","0.016305","0.055184","0.003803"
"0.00863","0.015391","0.051791","0.003810"
"0.00763","0.014444","0.048746","0.003885"
"0.00698","0.013590","0.046333","0.004007"
"0.00666","0.012881","0.044474","0.004087"
"0.00660","0.012162","0.043046","0.004210"
"0.00655","0.011524","0.041979","0.004352"
"0.00645","0.010863","0.040755","0.004759"
"0.00645","0.010181","0.039499","0.005149"
"0.00649","0.009473","0.038134","0.005405"
"0.00657","0.008788","0.036811","0.005609"
"0.00671","0.008204","0.035707","0.005695"
"0.00683","0.007799","0.034800","0.005734"
"0.00689","0.007513","0.034021","0.005794"
"0.00687","0.007306","0.033664","0.005882"
"0.00681","0.007222","0.033614","0.005896"
"0.00668","0.007121","0.033809","0.005769"
"0.00643","0.007043","0.034169","0.005593"
"0.00611","0.006979","0.034736","0.005396"
"0.00574","0.006897","0.035244","0.005227"
"0.00533","0.006786","0.035695","0.005079"
"0.00497","0.006687","0.036981","0.005015"
"0.00467","0.006807","0.039357","0.005060"
"0.00450","0.006950","0.041942","0.005186"
"0.00443","0.007146","0.044870","0.005494"
"0.00437","0.007414","0.048080","0.005908"
"0.00438","0.007662","0.051084","0.006408"
"0.00442","0.007946","0.054417","0.006858"
"0.00455","0.008242","0.057674","0.007246"
"0.00457","0.008395","0.059800","0.007521"
"0.00472","0.008412","0.061066","0.007662"
"0.00483","0.008454","0.061691","0.007742"
"0.00496","0.008461","0.061861","0.007721"
"0.00523","0.008427","0.061434","0.007619"
"0.00551","0.008384","0.060686","0.007448"
"0.00581","0.008342","0.059691","0.007301"
"0.00607","0.008252","0.057824","0.007054"
"0.00632","0.007947","0.054916","0.006658"
"0.00637","0.007602","0.051780","0.006223"
"0.00632","0.007222","0.048369","0.005728"
"0.00628","0.006822","0.044750","0.005215"
"0.00619","0.006447","0.041275","0.004699"
"0.00610","0.006069","0.037583","0.004194"
"0.00598","0.005685","0.033917","0.003697"
"0.00598","0.005458","0.031245","0.003330"
"0.00593","0.005355","0.029234","0.003118"
"0.00601","0.005248","0.027856","0.002919"
"0.00613","0.005185","0.026814","0.002782"
"0.00617","0.005125","0.026135","0.002726"
"0.00620","0.005084","0.025799","0.002710"
"0.00623","0.005038","0.025719","0.002702"
"0.00624","0.004995","0.025748","0.002751"
"0.00625","0.004956","0.026162","0.002798"
"0.00625","0.004916","0.026623","0.002852"
"0.00622","0.004913","0.026880","0.002939"
"0.00618","0.004926","0.027154","0.002996"
"0.00613","0.004970","0.027349","0.003002"
"0.00607","0.004991","0.027465","0.003036"
"0.00599","0.005027","0.027564","0.003049"
"0.00589","0.005068","0.027675","0.003025"
"0.00576","0.005084","0.027659","0.002998"
"0.00565","0.005104","0.027519","0.002994"
"0.00559","0.005072","0.027152","0.003030"
"0.00555","0.005032","0.026791","0.003061"
"0.00552","0.004963","0.026442","0.003124"
"0.00549","0.004932","0.026045","0.003166"
"0.00545","0.004922","0.025649","0.003186"
"0.00539","0.004925","0.025141","0.003225"
"0.00538","0.004965","0.024646","0.003243"
"0.00540","0.005012","0.024303","0.003244"
"0.00537","0.005080","0.024188","0.003277"
"0.00528","0.005172","0.024314","0.003349"
"0.00521","0.005279","0.024452","0.003424"
"0.00513","0.005339","0.024627","0.003541"
"0.00509","0.005376","0.024733","0.003665"
"0.00508","0.005415","0.024965","0.003850"
"0.00499","0.005474","0.025179","0.004013"
"0.00483","0.005545","0.025474","0.004165"
"0.00472","0.005596","0.025600","0.004245"
"0.00467","0.005632","0.025562","0.004313"
"0.00472","0.005647","0.025485","0.004361"
"0.00480","0.005640","0.025408","0.004393"
"0.00492","0.005626","0.025318","0.004367"
"0.00504","0.005588","0.025143","0.004326"
"0.00530","0.005513","0.025118","0.004300"
"0.00568","0.005432","0.024975","0.004229"
"0.00611","0.005328","0.024781","0.004160"
