"1 Chan 1","2 Chan 2","3 Chan 3","4 Chan 4"
0.051744,"0.030193","0.013072","0.007372"
0.053534,"0.030241","0.014298","0.006754"
0.055178,"0.030315","0.015471","0.006225"
0.056640,"0.029646","0.016620","0.005836"
0.058391,"0.028755","0.017813","0.005518"
0.060413,"0.027475","0.018995","0.005224"
0.062801,"0.026247","0.020128","0.004885"
0.064810,"0.025320","0.021149","0.004542"
0.065892,"0.024535","0.022073","0.004201"
0.065483,"0.024391","0.022858","0.003849"
0.064608,"0.024270","0.023375","0.003546"
0.063379,"0.024287","0.023661","0.003257"
0.061556,"0.024409","0.023481","0.003115"
0.059466,"0.024231","0.023000","0.003199"
0.056962,"0.023996","0.022517","0.003430"
0.054557,"0.023719","0.021960","0.003625"
0.052675,"0.023339","0.021198","0.003781"
0.051375,"0.023020","0.020317","0.003871"
0.050618,"0.022734","0.019499","0.003901"
0.049961,"0.022428","0.018723","0.004030"
0.049112,"0.022132","0.018022","0.004215"
0.048286,"0.021781","0.017383","0.004369"
0.047717,"0.021431","0.016816","0.004464"
0.047316,"0.021109","0.016182","0.004593"
0.046988,"0.020875","0.015487","0.004816"
0.046444,"0.020672","0.014869","0.005160"
0.045838,"0.020486","0.014396","0.005521"
0.045370,"0.020364","0.014027","0.005878"
0.045027,"0.020317","0.013711","0.006245"
0.044336,"0.020449","0.013509","0.006662"
0.043514,"0.020522","0.013390","0.007125"
0.042610,"0.020382","0.013319","0.007643"
0.042262,"0.020096","0.013198","0.008103"
0.041986,"0.019773","0.013105","0.008591"
0.041617,"0.019557","0.013077","0.009114"
0.040965,"0.019360","0.013154","0.009705"
0.040086,"0.019219","0.013208","0.010323"
0.039219,"0.019084","0.013151","0.010962"
0.038385,"0.018928","0.013009","0.011623"
0.037606,"0.018704","0.012879","0.012280"
0.036776,"0.018527","0.012708","0.012991"
0.035706,"0.018429","0.012431","0.013684"
0.034145,"0.018441","0.012203","0.014289"
0.032463,"0.018434","0.011986","0.014748"
0.030834,"0.018363","0.011719","0.015136"
0.029282,"0.018207","0.011446","0.015470"
0.027699,"0.018085","0.011198","0.015711"
0.026323,"0.017927","0.010986","0.015834"
0.025019,"0.017836","0.010739","0.015867"
0.023817,"0.017757","0.010497","0.015812"
0.022366,"0.017826","0.010324","0.015704"
0.020757,"0.018019","0.010125","0.015572"
0.019155,"0.018255","0.009883","0.015399"
0.017609,"0.018451","0.009643","0.015175"
0.016270,"0.018585","0.009394","0.014904"
0.014942,"0.018668","0.009199","0.014639"
0.013594,"0.018710","0.009088","0.014364"
0.012256,"0.018797","0.008976","0.014085"
0.011072,"0.018908","0.008820","0.013757"
0.010126,"0.018945","0.008695","0.013403"
0.009394,"0.018847","0.008627","0.013096"
0.009025,"0.018661","0.008531","0.012839"
0.008676,"0.018482","0.008491","0.012640"
0.008333,"0.018378","0.008465","0.012440"
0.008015,"0.018256","0.008417","0.012285"
0.007715,"0.018035","0.008342","0.012199"
0.007421,"0.017749","0.008276","0.012161"
0.007175,"0.017470","0.008199","0.012147"
0.006973,"0.017148","0.008058","0.012185"
0.007035,"0.016728","0.007898","0.012209"
0.007137,"0.016245","0.007767","0.012242"
0.007280,"0.015891","0.007634","0.012402"
0.007475,"0.015699","0.007485","0.012670"
0.007674,"0.015596","0.007331","0.012971"
0.007864,"0.015590","0.007151","0.013244"
0.008055,"0.015761","0.006961","0.013496"
0.008253,"0.015996","0.006737","0.013750"
0.008425,"0.016262","0.006518","0.014003"
0.008543,"0.016637","0.006306","0.014221"
0.008597,"0.017142","0.006122","0.014417"
0.008662,"0.017686","0.005938","0.014594"
0.008735,"0.018309","0.005741","0.014770"
0.008796,"0.019095","0.005561","0.014922"
0.008860,"0.020249","0.005397","0.015028"
0.008933,"0.021614","0.005248","0.015112"
0.009024,"0.023333","0.005072","0.015175"
0.009110,"0.025217","0.004912","0.015254"
0.009200,"0.027211","0.004761","0.015332"
0.009310,"0.029323","0.004593","0.015413"
0.009374,"0.031376","0.004429","0.015378"
0.009350,"0.033257","0.004269","0.015155"
