"Time","54 lHL swoff","53 rHL swoff","52 LDS cle","51 RDS cle","50 L marks","49 R marks","48 lHL swon","47 lFL swoff","46 rHL swon","45 rFL swoff","44 miry (cm)","43 mirx (cm)","41 CoMx (cm)","40 FRy (cm)","36 HRy (cm)","39 FRx (cm)","38 FLy (cm)","35 HRx (cm)","35a HRx (cm)","37 FLx (cm)","34 HLy (cm)","33 HLx (cm)","42 CoMy (cm)","32 MTP ang","31 Keyboard","30 ankle ang","29 knee ang","28 hip ang","27 FLty (cm)","26 FLtx (cm)","25 toey (cm)","24 toex (cm)","23 MTPy (cm)","22 MTPx (cm)","21 anky (cm)","20 ankx (cm)","19 kny (cm)","18 knx (cm)","17 Hipy (cm)","16 Hipx (cm)","15 Cry (cm)","14 Crx (cm)","12 Sync","11 Gr","10 St","9 TA","8 Gs","7 VL","6 BF","5 Ip","4 GM","3 Platform","2 Trdml","1 Synch","v3 xCoM","v2 L COP","v1 R COP","42a CoMy (cm)","33a HLx (cm)"
0.310,0,0,0,1,0,0,0,0,0,0,7.529239,0.935662,16.609543,3.669793,4.209546,18.337099,5.328947,14.724155,-9.157446,17.544458,6.552694,14.288821,4.960486,129.192108,0,77.611465,90.449478,67.770615,8.695299,19.357361,8.643871,15.443199,8.628431,14.894514,9.395795,14.232054,10.252373,15.815127,11.665496,15.064779,11.777751,16.181875,0,0.00115,0.00074,0.00068,0.00282,0.00065,0.00059,0.00076,0.00054,-1.49200,0.09975,3.21544,5.225370,0.000000,0.000000,4.965545,23.623529
0.311,0,0,0,1,0,0,0,0,0,0,7.530983,0.931749,16.604240,3.670757,4.209693,18.355003,5.329085,14.715255,-9.140642,17.535843,6.553805,14.312672,4.958958,129.615768,0,77.631264,90.390732,67.908714,8.703440,19.390564,8.637276,15.432510,8.628034,14.883266,9.399680,14.222354,10.250612,15.808468,11.665634,15.061707,11.777749,16.178829,0,0.00111,0.00074,0.00068,0.00271,0.00065,0.00059,0.00078,0.00054,-1.48720,0.10118,3.21520,5.223750,0.000000,0.000000,4.963463,23.851681
0.312,0,0,0,1,0,0,0,0,0,0,7.532727,0.927835,16.598938,3.671721,4.209839,18.372906,5.329224,14.706353,-9.123838,17.527225,6.554917,14.336522,4.957430,130.039429,0,77.651054,90.331985,68.046814,8.711580,19.423767,8.630681,15.421821,8.627635,14.872018,9.403565,14.212655,10.248852,15.801808,11.665771,15.058636,11.777746,16.175785,0,0.00109,0.00075,0.00065,0.00261,0.00065,0.00057,0.00079,0.00055,-1.48643,0.10290,3.21536,5.222044,0.000000,0.000000,4.961382,24.079832
0.313,0,0,0,1,0,0,0,0,0,0,7.533034,0.926886,16.594589,3.671371,4.209531,18.390203,5.329362,14.697366,-9.113294,17.518585,6.552299,14.360690,4.955823,130.280304,0,77.599350,90.406639,68.186569,8.716811,19.451834,8.625825,15.412527,8.625630,14.864024,9.404086,14.203767,10.246413,15.794516,11.665674,15.055843,11.776815,16.172899,0,0.00105,0.00075,0.00064,0.00242,0.00065,0.00056,0.00082,0.00056,-1.48766,0.10273,3.21551,5.220306,0.000000,0.000000,4.959495,24.294783
0.314,0,0,0,1,0,0,0,0,0,0,7.531372,0.929996,16.591547,3.669223,4.208601,18.406670,5.329501,14.688262,-9.111322,17.509912,6.544575,14.385292,4.954109,130.270813,0,77.449707,90.664017,68.328613,8.718056,19.472864,8.623350,15.405145,8.621424,14.860488,9.399997,14.195991,10.243047,15.786357,11.665254,15.053433,11.774613,16.170233,0,0.00102,0.00076,0.00065,0.00235,0.00066,0.00057,0.00085,0.00055,-1.48727,0.10195,3.21566,5.218474,0.000000,0.000000,4.957874,24.491653
0.315,0,0,0,1,0,0,0,0,0,0,7.529710,0.933106,16.588507,3.667075,4.207670,18.423138,5.329639,14.679157,-9.109350,17.501240,6.536851,14.409895,4.952394,130.261322,0,77.300064,90.921394,68.470650,8.719300,19.493893,8.620875,15.397762,8.617217,14.856951,9.395908,14.188214,10.239680,15.778197,11.664833,15.051023,11.772410,16.167566,0,0.00099,0.00075,0.00064,0.00223,0.00064,0.00060,0.00085,0.00054,-1.48529,0.10279,3.21573,5.216660,0.000000,0.000000,4.956254,24.688522
0.316,0,0,0,1,0,0,0,0,0,0,7.528048,0.936216,16.585464,3.664928,4.206739,18.439604,5.329778,14.670053,-9.107378,17.492567,6.529127,14.434498,4.950679,130.251831,0,77.150421,91.178764,68.612686,8.720545,19.514923,8.618401,15.390380,8.613010,14.853415,9.391819,14.180438,10.236314,15.770038,11.664412,15.048614,11.770208,16.164900,0,0.00092,0.00073,0.00064,0.00196,0.00060,0.00059,0.00082,0.00054,-1.48811,0.10338,3.21535,5.214901,0.000000,0.000000,4.954633,24.885391
0.317,0,0,0,1,0,0,0,0,0,0,7.525807,0.939487,16.582897,3.661594,4.205480,18.455343,5.329889,14.660951,-9.107010,17.483789,6.522310,14.459489,4.949131,130.114212,0,77.074440,91.117546,68.700783,8.721810,19.533182,8.616636,15.380380,8.611053,14.847351,9.395368,14.172606,10.234443,15.764959,11.664226,15.046824,11.769140,16.162996,0,0.00086,0.00073,0.00061,0.00179,0.00060,0.00060,0.00080,0.00053,-1.48590,0.10262,3.21504,5.213200,0.000000,0.000000,4.952518,25.067085
0.318,0,0,0,1,0,0,0,0,0,0,7.522771,0.942978,16.580980,3.656637,4.203769,18.470089,5.329963,14.651853,-9.108838,17.474867,6.516736,14.485012,4.947813,129.801117,0,77.099358,90.619965,68.714989,8.723104,19.547644,8.615846,15.366793,8.612175,14.837830,9.409375,14.164696,10.234617,15.764099,11.664359,15.045880,11.769627,16.162138,0,0.00085,0.00073,0.00062,0.00174,0.00060,0.00063,0.00081,0.00053,-1.48666,0.10150,3.21512,5.211673,0.000000,0.000000,4.949726,25.227993
0.319,0,0,0,1,0,0,0,0,0,0,7.519736,0.946470,16.579063,3.651679,4.202058,18.484835,5.330037,14.642756,-9.110665,17.465944,6.511161,14.510536,4.946493,129.488007,0,77.124275,90.122383,68.729195,8.724398,19.562105,8.615055,15.353206,8.613297,14.828307,9.423384,14.156785,10.234793,15.763240,11.664492,15.044937,11.770113,16.161280,0,0.00087,0.00075,0.00063,0.00177,0.00061,0.00064,0.00081,0.00051,-1.48682,0.10145,3.21513,5.210181,0.000000,0.000000,4.946934,25.388901
