"Time","2 Trdml","3 Platform","4 GM","5 Ip","6 BF","7 VL","8 St","9 TA","10 Gs","11 Gr","12 Synch","42 Ramp up","43 Ramp down","44 sw onset","45 sw offset"
1.60,0.19489,1.48373,0.00457,0.00912,0.00097,0.00092,0.00057,0.00084,0.00289,0.00110,0,0,0,0,0
1.61,0.19508,1.48489,0.00101,0.00466,0.00089,0.00099,0.00071,0.00067,0.00294,0.00109,0,0,0,0,0
1.62,0.19530,1.48356,0.00056,0.00145,0.00081,0.00091,0.00087,0.00091,0.00309,0.00091,0,0,0,0,1
1.63,0.19494,1.48698,0.00061,0.00124,0.00081,0.00084,0.00117,0.00107,0.00642,0.00127,0,0,0,0,0
1.64,0.19402,1.48483,0.00060,0.00124,0.00100,0.00103,0.00141,0.00099,0.00349,0.00137,0,0,0,0,0
1.65,0.19345,1.48500,0.00057,0.00114,0.00121,0.00110,0.00129,0.00094,0.00188,0.00100,0,0,0,0,0
1.66,0.19423,1.48538,0.00060,0.00120,0.00113,0.00110,0.00117,0.00086,0.00232,0.00132,0,0,0,0,0
1.67,0.19428,1.48458,0.00060,0.00135,0.00102,0.00113,0.00164,0.00080,0.00231,0.00163,0,0,0,0,0
1.68,0.19379,1.48493,0.00059,0.00134,0.00097,0.00109,0.00182,0.00079,0.00357,0.00143,0,0,0,0,0
1.69,0.19377,1.48557,0.00062,0.00123,0.00106,0.00103,0.00122,0.00071,0.00347,0.00117,0,0,0,0,0
1.70,0.19308,1.48700,0.00059,0.00131,0.00099,0.00103,0.00112,0.00074,0.00384,0.00139,0,0,0,0,0
1.71,0.19315,1.48438,0.00061,0.00139,0.00083,0.00122,0.00108,0.00078,0.00247,0.00150,0,0,0,0,0
1.72,0.19326,1.48401,0.00065,0.00141,0.00107,0.00116,0.00110,0.00076,0.00322,0.00134,0,0,0,0,0
1.73,0.19316,1.47963,0.00064,0.00130,0.00124,0.00113,0.00108,0.00069,0.00376,0.00128,0,0,0,0,0
1.74,0.19317,1.48452,0.00059,0.00100,0.00104,0.00096,0.00069,0.00060,0.00381,0.00092,0,0,0,0,0
1.75,0.19299,1.48476,0.00342,0.00475,0.00080,0.00069,0.00069,0.00071,0.00362,0.00065,0,0,0,0,0
1.76,0.19298,1.48530,0.00525,0.01100,0.00074,0.00069,0.00147,0.00093,0.00299,0.00250,0,0,0,1,0
