"Time","2 Trdml","3 Platform","4 GM","5 Ip","6 BF","7 VL","8 St","9 TA","10 Gs","11 Gr","12 Synch","42 Ramp up","43 Ramp down","44 sw onset","45 sw offset"
1.51,0.19580,-1.48134,0.00348,0.01506,0.00065,0.00056,0.00065,0.00147,0.00434,0.00086,0,0,0,0,0
1.52,0.19595,-1.47963,0.00754,0.01306,0.00065,0.00057,0.00060,0.00129,0.00469,0.00098,0,0,0,0,0
1.53,0.19536,-1.47714,0.00954,0.01263,0.00072,0.00062,0.00056,0.00106,0.00323,0.00103,0,0,0,0,0
1.54,0.19492,-1.47924,0.00525,0.01011,0.00079,0.00081,0.00060,0.00091,0.00109,0.00125,0,0,0,0,0
1.55,0.19516,-1.48003,0.00159,0.00618,0.00094,0.00118,0.00070,0.00097,0.00298,0.00140,0,0,0,0,0
1.56,0.19655,-1.48090,0.00069,0.00574,0.00093,0.00116,0.00079,0.00097,0.00388,0.00107,0,0,0,0,0
1.57,0.19691,-1.48080,0.00054,0.00310,0.00071,0.00076,0.00082,0.00090,0.00298,0.00079,0,0,0,0,1
1.58,0.19675,-1.48437,0.00057,0.00159,0.00067,0.00076,0.00100,0.00095,0.00172,0.00084,0,0,0,0,0
1.59,0.19577,-1.47952,0.00069,0.00120,0.00081,0.00103,0.00129,0.00100,0.00411,0.00102,0,0,0,0,0
1.60,0.19508,-1.47851,0.00067,0.00115,0.00294,0.00129,0.00133,0.00108,0.00338,0.00107,0,0,0,0,0
1.61,0.19585,-1.47931,0.00053,0.00099,0.00288,0.00105,0.00122,0.00097,0.00612,0.00141,0,0,0,0,0
1.62,0.19684,-1.48123,0.00054,0.00106,0.00077,0.00067,0.00150,0.00078,0.00308,0.00154,0,0,0,0,0
1.63,0.19751,-1.48005,0.00058,0.00111,0.00084,0.00098,0.00209,0.00075,0.00256,0.00173,0,0,0,0,0
1.64,0.19699,-1.47925,0.00056,0.00112,0.00104,0.00122,0.00238,0.00078,-0.00009,0.00173,0,0,0,0,0
1.65,0.19678,-1.48035,0.00052,0.00124,0.00150,0.00124,0.00218,0.00080,0.00194,0.00115,0,0,0,0,0
1.66,0.19649,-1.48101,0.00055,0.00136,0.00353,0.00154,0.00161,0.00079,0.00316,0.00105,0,0,0,0,0
1.67,0.19669,-1.47890,0.00059,0.00156,0.00448,0.00125,0.00140,0.00077,0.00465,0.00135,0,0,0,0,0
1.68,0.19719,-1.47897,0.00059,0.00197,0.00231,0.00101,0.00133,0.00074,0.00337,0.00112,0,0,0,0,0
1.69,0.19746,-1.47610,0.00394,0.00969,0.00087,0.00095,0.00129,0.00072,0.00327,0.00156,0,0,0,0,0
1.70,0.19742,-1.47900,0.00572,0.01334,0.00067,0.00061,0.00157,0.00160,-0.00163,0.00327,0,0,0,1,0
