"Time","25 toey (cm)","17 Hipy (cm)"
0.715,8.720568,10.484434
0.716,8.715600,10.480147
0.717,8.710633,10.475862
0.718,8.705666,10.471575
0.719,8.701733,10.467587
0.720,8.698450,10.463785
0.721,8.695168,10.459984
0.722,8.691885,10.456182
0.723,8.689244,10.452537
0.724,8.687007,10.448989
0.725,8.684770,10.445442
0.726,8.682532,10.441895
0.727,8.680586,10.438435
0.728,8.678822,10.435029
0.729,8.677058,10.431623
0.730,8.675295,10.428218
0.731,8.673587,10.424845
0.732,8.671913,10.421493
0.733,8.670239,10.418139
0.734,8.668566,10.414787
0.735,8.666986,10.411382
0.736,8.665465,10.407943
0.737,8.663944,10.404505
0.738,8.662423,10.401066
0.739,8.661064,10.397642
0.740,8.659808,10.394227
0.741,8.658552,10.390813
0.742,8.657296,10.387398
0.743,8.656181,10.383976
0.744,8.655153,10.380549
0.745,8.654126,10.377124
0.746,8.653099,10.373697
0.747,8.652142,10.370336
0.748,8.651227,10.367015
0.749,8.650313,10.363694
0.750,8.649400,10.360373
0.751,8.648470,10.357057
0.752,8.647531,10.353743
0.753,8.646591,10.350429
0.754,8.645651,10.347114
0.755,8.644683,10.343857
0.756,8.643698,10.340636
0.757,8.642712,10.337416
0.758,8.641726,10.334195
0.759,8.640823,10.331159
0.760,8.639972,10.328239
0.761,8.639120,10.325320
0.762,8.638268,10.322401
0.763,8.637444,10.319631
0.764,8.636638,10.316956
0.765,8.635831,10.314280
0.766,8.635024,10.311604
0.767,8.634451,10.309106
0.768,8.634026,10.306721
0.769,8.633600,10.304335
0.770,8.633175,10.301950
0.771,8.632921,10.299659
0.772,8.632775,10.297427
0.773,8.632629,10.295197
0.774,8.632483,10.292966
0.775,8.632360,10.290894
0.776,8.632249,10.288921
0.777,8.632138,10.286949
0.778,8.632028,10.284976
0.779,8.632034,10.283239
0.780,8.632114,10.281651
0.781,8.632195,10.280063
0.782,8.632275,10.278475
0.783,8.632974,10.277252
0.784,8.634063,10.276259
0.785,8.635152,10.275267
0.786,8.636241,10.274274
0.787,8.637434,10.273522
0.788,8.638692,10.272922
0.789,8.639950,10.272322
0.790,8.641208,10.271722
0.791,8.642649,10.271370
0.792,8.644205,10.271173
0.793,8.645761,10.270977
0.794,8.647318,10.270781
0.795,8.649035,10.270890
0.796,8.650851,10.271191
0.797,8.652668,10.271491
0.798,8.654486,10.271791
0.799,8.656418,10.272243
0.800,8.658423,10.272789
0.801,8.660429,10.273335
0.802,8.662434,10.273880
0.803,8.664509,10.274588
0.804,8.666628,10.275397
0.805,8.668747,10.276207
0.806,8.670865,10.277017
0.807,8.673064,10.278023
0.808,8.675314,10.279153
0.809,8.677563,10.280282
0.810,8.679812,10.281412
0.811,8.682195,10.282854
0.812,8.684660,10.284492
0.813,8.687126,10.286131
0.814,8.689592,10.287769
0.815,8.692152,10.289651
0.816,8.694770,10.291686
0.817,8.697388,10.293721
0.818,8.700006,10.295755
0.819,8.702671,10.298120
0.820,8.705365,10.300692
0.821,8.708059,10.303264
0.822,8.710753,10.305835
0.823,8.713477,10.308618
0.824,8.716220,10.311532
0.825,8.718964,10.314446
0.826,8.721706,10.317361
0.827,8.724590,10.320498
0.828,8.727562,10.323775
0.829,8.730535,10.327052
0.830,8.733507,10.330329
0.831,8.736617,10.333824
0.832,8.739813,10.337457
0.833,8.743009,10.341089
0.834,8.746204,10.344722
0.835,8.749623,10.348577
0.836,8.753182,10.352571
0.837,8.756741,10.356565
0.838,8.760300,10.360559
0.839,8.763778,10.364640
0.840,8.767205,10.368774
0.841,8.770633,10.372910
0.842,8.774061,10.377044
0.843,8.776836,10.381067
0.844,8.779202,10.385020
0.845,8.781567,10.388974
0.846,8.783933,10.392927
0.847,8.786145,10.396878
0.848,8.788261,10.400827
0.849,8.790379,10.404777
0.850,8.792495,10.408726
0.851,8.794489,10.412585
0.852,8.796407,10.416387
0.853,8.798324,10.420188
0.854,8.800241,10.423989
0.855,8.802089,10.427745
0.856,8.803891,10.431471
0.857,8.805694,10.435197
0.858,8.807496,10.438923
0.859,8.809188,10.442671
0.860,8.810810,10.446432
0.861,8.812432,10.450193
0.862,8.814054,10.453955
0.863,8.815589,10.457694
0.864,8.817068,10.461421
0.865,8.818548,10.465147
0.866,8.820027,10.468874
0.867,8.821408,10.472500
0.868,8.822726,10.476063
0.869,8.824045,10.479625
0.870,8.825363,10.483188
0.871,8.826521,10.486680
0.872,8.827577,10.490129
