"Time","v3 L COP","v2 R COP","49 RDS cle","47 R marks","39 FRx (cm)","35 HRx (cm)","v1 xCoM","42 CoMy (cm)","50 LDS cle","48 L marks","37 FLx (cm)","33 HLx (cm)","3 Platform"
0.124,0.000000,0.000000,0,0,16.478458,14.429732,5.435481,5.529719,1,0,17.626770,12.285938,-0.00009
0.125,0.000000,0.000000,0,0,16.498098,14.460819,5.435611,5.527586,1,0,17.638046,12.281399,0.00007
0.126,0.000000,0.000000,0,0,16.517736,14.491907,5.435901,5.525455,1,0,17.649323,12.276860,0.00001
0.127,0.000000,0.000000,0,0,16.537376,14.522995,5.436491,5.523322,1,0,17.660601,12.272321,-0.00015
0.128,0.000000,0.000000,0,0,16.558350,14.553920,5.437133,5.521151,1,0,17.671217,12.268538,0.00015
0.129,0.000000,0.000000,0,0,16.583500,14.584335,5.437874,5.518858,1,0,17.679773,12.267130,0.00008
0.130,1.194155,0.000000,0,0,16.608652,14.614752,5.438806,5.516565,1,0,17.688328,12.265720,0.00000
0.131,4.625633,0.000000,0,0,16.633802,14.645167,5.440098,5.514272,1,1,17.696884,12.264312,0.00000
0.132,6.864291,0.000000,0,0,16.659729,14.675077,5.441746,5.512132,1,0,17.704647,12.263626,-0.00008
0.133,6.868126,0.000000,0,0,16.688086,14.703404,5.444059,5.510474,1,0,17.709930,12.265205,0.00023
0.134,6.871732,0.000000,0,0,16.716442,14.731731,5.446659,5.508815,1,0,17.715212,12.266785,-0.00008
0.135,6.874909,0.000000,0,0,16.744799,14.760058,5.449798,5.507157,1,0,17.720495,12.268364,0.00008
0.136,6.876866,0.000000,0,0,16.773527,14.787270,5.453108,5.505562,1,0,17.725040,12.270881,-0.00007
0.137,6.876537,0.000000,0,0,16.803425,14.810987,5.456743,5.504167,1,0,17.727278,12.276337,-0.00023
0.138,6.875975,0.000000,0,0,16.833323,14.834705,5.460531,5.502771,1,0,17.729513,12.281793,0.00007
0.139,6.874977,0.000000,0,0,16.863220,14.858423,5.464609,5.501377,1,0,17.731750,12.287249,0.00000
0.140,6.874912,0.000000,0,0,16.893274,14.880771,5.468857,5.500057,1,0,17.733438,12.293739,0.00015
0.141,6.876596,0.000000,0,0,16.923813,14.898829,5.473427,5.498972,1,0,17.733404,12.303474,-0.00015
0.142,5.680975,0.000000,0,0,16.954353,14.916885,5.478218,5.497889,1,1,17.733372,12.313210,-0.00016
0.143,2.242128,0.000000,0,0,16.984892,14.934943,5.483422,5.496804,0,0,17.733337,12.322945,0.00007
0.144,0.000000,0.000000,0,0,17.015511,14.951483,5.488893,5.495851,0,0,17.732876,12.333643,-0.00023
0.145,0.000000,0.000000,0,0,17.046375,14.963269,5.494863,5.495305,0,0,17.731073,12.347356,0.00000
0.146,0.000000,0.000000,0,0,17.077240,14.975056,5.501082,5.494759,0,0,17.729269,12.361070,-0.00008
0.147,0.000000,0.000000,0,0,17.108105,14.986843,5.507770,5.494213,0,0,17.727467,12.374783,0.00000
0.148,0.000000,0.000000,0,0,17.138966,14.997092,5.514673,5.493881,0,0,17.725210,12.389778,0.00000
0.149,0.000000,0.000000,0,0,17.169811,15.002527,5.521983,5.494223,0,0,17.721537,12.408790,0.00023
0.150,0.000000,0.000000,0,0,17.200657,15.007962,5.529488,5.494565,0,0,17.717863,12.427801,-0.00007
0.151,0.000000,0.000000,0,0,17.231503,15.013396,5.537359,5.494906,0,0,17.714191,12.446813,-0.00009
0.152,0.000000,0.000000,0,0,17.262415,15.017615,5.545403,5.495426,0,0,17.709982,12.466876,0.00008
0.153,0.000000,0.000000,0,0,17.293543,15.018024,5.553771,5.496503,0,0,17.704096,12.490232,0.00008
