"Time"	"45 sw offset"	"44 sw onset"	"11 Gr"	"10 Gs"	"9 TA"	"8 St"	"7 VL"	"6 BF"	"5 Ip"	"4 GM"
2.47	0	0	0.00792	0.00151	0.00876	0.00070	0.00062	0.00082	0.01379	0.01107
2.48	0	0	0.00151	0.00125	0.00537	0.00072	0.00056	0.00076	0.00933	0.00198
2.49	0	0	0.00103	0.00054	0.00268	0.00057	0.00087	0.00055	0.03036	0.00580
2.50	0	0	0.00044	0.00062	0.00082	0.00032	0.00087	0.00163	0.00362	0.01328
2.51	0	0	0.00170	0.00053	0.00072	0.00053	0.00074	0.00096	0.00093	0.00050
2.52	1	0	0.00082	0.00070	0.00117	0.00066	0.00067	0.00063	0.00311	0.00044
2.53	0	0	0.00153	0.00615	0.00083	0.00113	0.00078	0.00093	0.00084	0.00062
2.54	0	0	0.00153	0.00161	0.00073	0.00160	0.00069	0.00074	0.00080	0.00064
2.55	0	0	0.00106	0.00134	0.00127	0.00108	0.00137	0.00124	0.00138	0.00126
2.56	0	0	0.00183	0.00066	0.00072	0.00204	0.00255	0.00177	0.00147	0.00055
2.57	0	0	0.00121	0.00191	0.00082	0.00498	0.00266	0.00158	0.00207	0.00046
2.58	0	0	0.00129	0.00307	0.00141	0.00161	0.00196	0.00190	0.00168	0.00120
2.59	0	0	0.00118	0.00182	0.00080	0.00114	0.00079	0.00157	0.00195	0.00059
2.60	0	0	0.00070	0.00090	0.00120	0.00055	0.00104	0.00271	0.00198	0.00084
2.61	0	0	0.00198	0.00079	0.00071	0.00054	0.00065	0.00093	0.00065	0.00068
2.62	0	0	0.00052	0.00046	0.00064	0.00065	0.00060	0.00112	0.00241	0.00045
2.63	0	1	0.00321	0.00366	0.00379	0.00377	0.00055	0.00054	0.01128	0.00628
2.64	0	0	0.00417	0.00185	0.00225	0.00181	0.00061	0.00058	0.00293	0.00381
2.65	0	0	0.00096	0.00166	0.00250	0.00144	0.00081	0.00072	0.02059	0.00205
2.66	0	0	0.00295	0.00051	0.00254	0.00066	0.00064	0.00051	0.02196	0.00058
2.67	0	0	0.00515	0.00145	0.00389	0.00059	0.00055	0.00063	0.01279	0.00046
2.68	0	0	0.00477	0.00071	0.00369	0.00061	0.00058	0.00059	0.01909	0.00213
2.69	0	0	0.00204	0.00102	0.00290	0.00145	0.00046	0.00071	0.01858	0.00792
2.70	0	0	0.00068	0.00196	0.00155	0.00081	0.00131	0.00083	0.01168	0.00724
2.71	0	0	0.00128	0.00053	0.00123	0.00086	0.00067	0.00068	0.02534	0.00076
2.72	0	0	0.00137	0.00048	0.00069	0.00058	0.00062	0.00079	0.02135	0.00129
2.73	0	0	0.00140	0.00053	0.00092	0.00046	0.00060	0.00063	0.03064	0.00523
2.74	0	0	0.00238	0.00095	0.00059	0.00060	0.00121	0.00063	0.00439	0.00149
2.75	0	0	0.00195	0.00240	0.00070	0.00064	0.00115	0.00100	0.00194	0.00052
2.76	1	0	0.00095	0.00079	0.00156	0.00093	0.00053	0.00099	0.00350	0.00059
2.77	0	0	0.00118	0.00083	0.00065	0.00128	0.00135	0.00103	0.00079	0.00055
2.78	0	0	0.00076	0.00078	0.00196	0.00171	0.00087	0.00080	0.00121	0.00053
2.79	0	0	0.00101	0.00068	0.00098	0.00108	0.00143	0.00158	0.00064	0.00074
2.80	0	0	0.00106	0.00109	0.00070	0.00268	0.00175	0.00189	0.00099	0.00049
2.81	0	0	0.00098	0.00118	0.00067	0.00266	0.00051	0.00047	0.00162	0.00049
2.82	0	0	0.00078	0.00090	0.00054	0.00090	0.00047	0.00071	0.00109	0.00053
